asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual
AssetMarker,390,1.8367239361444675e-40,1.0426160097122192,0.008947376161813736,0.11097965389490128,-15380,1.4857828608428374e-37
AssetMarker,968946575,1.8367379491291107e-40,1.0138136148452759,0.008785564452409744,0.11289716511964798,-9738,1.485784878712626e-37
AssetMarker,959309398,1.836751962113754e-40,1.029342770576477,0.0090226661413908,0.1331234723329544,8508,1.4857834213622232e-37
AssetMarker,964134304,1.401298464324817e-45,0.3922877907752991,0.030453123152256012,0.24010039865970612,15103,1.4857874571018004e-37
AssetMarker,959185553,2.802596928649634e-45,0.45462918281555176,0.0326995812356472,0.18077361583709717,-10710,1.4857842060893632e-37
AssetMarker,964926454,1.4573504028978097e-42,0.4593997895717621,0.03699024394154549,0.3251410126686096,31989,3.8786203882415174e-39
AssetMarker,958266328,1.8497139729087585e-43,0.5543943643569946,0.0298752523958683,0.25032660365104675,1960,3.878579750586052e-39
AssetMarker,956815463,3.699427945817517e-43,0.5193934440612793,0.04924984648823738,0.24895410239696503,-30,3.8786077765553384e-39
AssetMarker,960003534,3.615350037958028e-43,0.5273216366767883,0.048631299287080765,0.2608844041824341,-31315,3.878606375256874e-39
AssetMarker,959909832,1.807675018979014e-43,0.5757188200950623,0.03760787472128868,0.33939608931541443,7996,3.8786035726599455e-39
AssetMarker,954439106,9.248569864543793e-44,0.5557534098625183,0.04928753152489662,0.35115012526512146,19269,3.87861478304766e-39
AssetMarker,954954276,4.624284932271896e-44,0.5468800663948059,0.030525006353855133,0.3645496666431427,31816,3.878628796032303e-39
AssetMarker,0,2.9147008057956195e-42,0.5188628435134888,0.04017461836338043,0.3654448390007019,19432,3.878610579152267e-39
AssetMarker,0,7.286752014489049e-44,1.0410339832305908,0.007494573015719652,0.4032460153102875,24441,1.6745824934343715e-39
AssetMarker,953396735,7.42688186092153e-44,0.9281672835350037,0.007069027051329613,0.41723719239234924,-10655,1.674588098628229e-39
